,Id_Customer,Y,Customer_Type,BirthDate,Customer_Open_Date,P_Client,Educational_Level,Marital_Status,Number_Of_Dependant,Years_At_Residence,Net_Annual_Income,Years_At_Business,Prod_Sub_Category,Prod_Decision_Date,Source,Type_Of_Residence,Nb_Of_Products,Prod_Closed_Date,Prod_Category
1602,8790,0,Existing Client,1978-09-17,2006-02-07,P_Client,Diploma,Married,4.0,32,22.0,1.0,C,2012-05-03,Branch,Parents,1,2013-05-30,G
1604,4340,0,Non Existing Client,1977-05-21,2011-10-17,NP_Client,University,Single,0.0,15,30.0,1.0,G,2011-10-23,Sales,Owned,2,2012-02-10,C
1605,5290,0,Existing Client,1978-02-08,2011-09-08,NP_Client,Master/PhD,Married,2.0,15,36.0,5.0,G,2011-07-12,Sales,Owned,1,2012-10-10,C
1611,5173,0,Existing Client,1981-07-24,2008-08-27,NP_Client,University,Married,2.0,30,25.0,1.0,C,2011-12-21,Sales,Old rent,1,2012-07-08,B
1616,1379,0,Non Existing Client,1983-12-08,2011-06-26,NP_Client,University,Married,0.0,2,72.0,2.0,C,2011-03-07,Branch,Owned,2,2012-12-30,B
1618,8698,0,Non Existing Client,1970-12-29,2012-03-25,NP_Client,University,Single,0.0,40,18.0,2.0,C,2012-03-26,Sales,Owned,2,2013-02-24,B
1625,1855,0,Existing Client,1959-10-12,2006-01-02,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-06-23,Branch,Owned,3,2012-05-23,C
1631,4629,0,Existing Client,1975-11-17,2010-09-28,NP_Client,University,Married,0.0,11,18.0,2.0,G,2011-11-21,Sales,Owned,1,2012-09-29,C
1633,8494,1,Non Existing Client,1950-08-19,2012-03-14,NP_Client,University,Married,0.0,10,36.0,3.0,C,2012-03-15,Sales,Owned,1,2013-05-30,B
1634,549,0,Existing Client,1978-10-23,2008-04-06,NP_Client,Master/PhD,Married,2.0,32,300.0,3.0,P,2011-07-06,Branch,Owned,1,2013-05-26,K
1638,3614,0,Existing Client,1983-09-22,2007-05-28,P_Client,University,Single,1.0,11,45.56100000000001,4.0,G,2011-11-10,Branch,Owned,3,2012-05-06,G
1641,4682,0,Existing Client,1981-09-02,2011-12-10,NP_Client,University,Married,0.0,10,36.0,3.0,C,2011-11-17,Sales,Owned,1,2012-11-11,M
1644,8555,0,Non Existing Client,1977-06-07,2012-03-19,NP_Client,University,Married,0.0,10,50.0,10.0,C,2012-03-20,Sales,Owned,2,2013-01-13,B
1652,5454,0,Non Existing Client,1970-05-13,2011-11-30,NP_Client,University,Married,0.0,1,25.0,10.0,C,2011-01-12,Sales,Owned,2,2013-04-30,B
1658,3643,0,Existing Client,1985-07-27,2008-02-14,NP_Client,University,Single,1.0,30,34.56,3.0,C,2011-02-10,Branch,Owned,2,2012-04-07,J
1659,1430,1,Non Existing Client,1977-03-23,2011-04-07,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-05-07,Branch,Owned,1,2012-08-03,D
1668,166,1,Existing Client,1970-09-05,2011-04-19,NP_Client,University,Married,4.0,12,26.028000000000002,7.0,C,2011-05-22,Sales,Owned,1,2012-05-31,L
1669,2032,0,Existing Client,1972-11-01,2010-07-27,P_Client,Master/PhD,Married,2.0,19,18.0,3.0,C,2011-08-15,Sales,Owned,3,2013-02-01,K
1671,3840,0,Existing Client,1980-02-18,2011-10-08,NP_Client,University,Married,3.0,6,20.0,1.0,C,2011-10-10,Sales,Owned,1,2013-06-02,B
1678,3919,1,Existing Client,1980-03-01,2011-09-29,NP_Client,University,Single,0.0,1,30.948,1.0,C,2011-10-25,Sales,Owned,1,2012-08-30,L
1683,4788,0,Non Existing Client,1972-02-12,2011-10-26,NP_Client,University,Married,2.0,3,300.0,17.0,C,2011-09-11,Branch,Owned,1,2013-12-03,B
1686,6781,1,Non Existing Client,1967-10-04,2012-01-22,NP_Client,University,Married,5.0,1,25.0,1.0,C,2012-01-23,Sales,Owned,1,2012-11-29,B
1692,9536,0,Non Existing Client,1972-11-07,2012-04-25,NP_Client,University,Married,2.0,35,36.0,10.0,C,2012-04-26,Sales,Owned,2,2013-03-31,D
1699,7250,1,Existing Client,1978-07-10,2012-01-02,NP_Client,University,Married,2.0,20,50.4,1.0,C,2012-02-19,Sales,Owned,1,2012-12-31,L
1702,3477,0,Non Existing Client,1985-01-07,2011-09-22,NP_Client,University,Single,0.0,27,36.0,27.0,C,2011-09-27,Sales,Owned,2,2012-10-22,B
1712,721,0,Non Existing Client,1978-06-14,2011-05-22,NP_Client,University,Single,0.0,33,32.4,1.0,C,2011-05-25,Branch,Old rent,1,2013-05-31,K
1717,1645,0,Non Existing Client,1980-07-10,2011-06-19,NP_Client,University,Married,0.0,10,12.0,10.0,C,2011-07-21,Branch,Owned,2,2013-03-04,B
1718,222,0,Non Existing Client,1970-09-01,2011-04-05,NP_Client,University,Married,2.0,15,18.0,19.0,C,2011-08-05,Branch,Owned,2,2012-04-17,B
1720,2835,0,Existing Client,1956-02-18,2009-09-04,NP_Client,Master/PhD,Married,3.0,12,6.0,25.0,G,2011-09-18,Branch,Owned,2,2013-03-20,C
1727,4995,0,Non Existing Client,1976-05-19,2011-11-16,NP_Client,University,Married,0.0,1,25.0,1.0,C,2011-11-17,Sales,Old rent,2,2012-09-20,D
1730,2518,0,Non Existing Client,1981-12-08,2011-07-31,NP_Client,University,Married,0.0,4,54.0,6.0,C,2011-08-18,Branch,Owned,1,2013-05-30,K
1735,6942,0,Existing Client,1972-10-11,2006-08-05,P_Client,University,Married,2.0,1,25.0,1.0,C,2012-12-02,Sales,Owned,1,2012-12-13,B
1736,784,0,Non Existing Client,1982-01-10,2011-02-06,NP_Client,University,Married,1.0,10,18.0,1.0,C,2011-06-06,Sales,Owned,1,2013-04-30,B
1739,2888,0,Existing Client,1985-12-30,2010-05-24,P_Client,University,Single,0.0,25,20.04,1.0,C,2011-09-21,Sales,Owned,1,2013-12-03,H
1742,2336,0,Non Existing Client,1973-01-26,2011-04-08,NP_Client,University,Married,0.0,10,36.0,1.0,C,2011-07-08,Sales,Owned,2,2013-03-26,B
1749,819,0,Existing Client,1969-02-09,2011-08-06,NP_Client,University,Married,5.0,15,40.0,1.0,C,2011-06-15,Branch,Owned,1,2012-09-08,L
1753,1582,0,Non Existing Client,1984-04-29,2011-07-14,NP_Client,University,Single,0.0,15,30.0,1.0,C,2011-07-25,Sales,Owned,2,2012-12-26,B
1757,684,0,Existing Client,1987-09-23,2011-06-04,P_Client,University,Married,2.0,17,36.0,2.0,C,2011-06-14,Sales,Owned,1,2013-05-30,L
1761,1343,0,Existing Client,1966-12-24,2011-06-06,NP_Client,University,Married,0.0,5,36.0,1.0,C,2011-07-13,Sales,Owned,2,2013-01-14,B
1765,8399,1,Existing Client,1983-05-26,2012-03-13,NP_Client,University,Single,0.0,28,63.192,4.0,C,2012-03-19,Branch,Parents,1,2012-10-31,L
1773,8382,0,Non Existing Client,1986-12-15,2012-11-03,NP_Client,University,Married,0.0,1,36.0,1.0,C,2012-12-03,Sales,Owned,1,2013-07-02,B
1775,1530,1,Non Existing Client,1971-01-21,2011-07-13,NP_Client,University,Married,1.0,10,20.0,1.0,C,2011-07-16,Sales,Old rent,1,2012-08-30,B
1779,4192,0,Non Existing Client,1963-03-27,2011-10-16,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-10-17,Sales,Owned,1,2012-10-04,B
1786,3915,1,Non Existing Client,1976-05-11,2011-11-09,NP_Client,University,Married,2.0,7,36.0,1.0,C,2011-09-28,Sales,Owned,1,2012-10-31,B
1789,3249,0,Non Existing Client,1965-01-09,2011-11-09,NP_Client,University,Married,3.0,15,30.0,1.0,C,2011-09-19,Sales,Owned,1,2012-06-08,B
1796,243,0,Non Existing Client,1986-01-01,2011-05-05,NP_Client,University,Single,0.0,4,18.0,1.0,C,2011-08-05,Sales,Owned,1,2012-12-08,B
1799,2887,0,Existing Client,1974-03-24,2010-05-17,NP_Client,University,Married,1.0,1,36.0,11.0,C,2011-09-28,Sales,Owned,1,2013-05-30,B
1802,2803,1,Existing Client,1981-02-02,2008-06-26,P_Client,University,Single,0.0,30,29.112,1.0,C,2011-09-20,Sales,Owned,1,2012-11-29,H
1805,5074,0,Non Existing Client,1987-02-04,2011-11-24,NP_Client,University,Single,0.0,24,25.0,21.0,C,2011-11-28,Sales,Owned,2,2012-12-16,B
1810,4567,1,Existing Client,1950-12-15,2008-05-10,NP_Client,University,Married,0.0,30,50.0,20.0,C,2011-11-26,Sales,Owned,1,2012-06-28,B
1812,408,0,Non Existing Client,1979-05-17,2011-05-22,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-05-23,Sales,Owned,2,2012-11-21,B
1818,870,0,Non Existing Client,1957-09-04,2011-06-13,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-06-14,Branch,Owned,2,2012-06-14,B
1822,7559,1,Non Existing Client,1973-01-10,2012-02-19,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-02-20,Sales,Owned,1,2012-11-29,B
1826,1173,0,Existing Client,1971-08-14,2005-07-04,P_Client,University,Married,1.0,6,20.0,1.0,C,2011-07-25,Branch,Owned,1,2012-03-26,B
1835,7558,1,Non Existing Client,1970-04-29,2012-02-19,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-02-20,Sales,Owned,1,2012-11-29,B
1836,1394,1,Non Existing Client,1964-10-03,2011-03-07,NP_Client,University,Married,2.0,15,30.0,1.0,C,2011-04-07,Branch,Owned,1,2012-02-29,D
1843,951,1,Non Existing Client,1985-11-22,2011-12-06,NP_Client,University,Married,1.0,5,36.0,5.0,C,2011-06-19,Sales,Owned,1,2011-10-31,B
1845,179,1,Existing Client,1957-03-16,2011-04-28,NP_Client,University,Married,1.0,5,37.644,2.0,C,2011-05-26,Sales,Owned,1,2011-10-31,L
1850,9497,0,Non Existing Client,1957-05-03,2012-04-22,NP_Client,University,Married,2.0,10,36.0,5.0,C,2012-04-23,Sales,Owned,1,2012-12-26,B
1851,6661,0,Non Existing Client,1963-08-20,2012-01-16,NP_Client,University,Married,0.0,1,25.0,1.0,C,2012-01-26,Sales,Owned,2,2012-11-12,B
1856,2468,1,Non Existing Client,1982-10-02,2011-08-14,NP_Client,University,Married,2.0,15,30.0,1.0,C,2011-08-15,Sales,Owned,1,2012-06-28,B
1878,4618,0,Existing Client,1965-01-20,2010-07-29,NP_Client,University,Married,4.0,10,18.0,2.0,C,2011-11-14,Sales,Owned,2,2013-02-21,B
1880,3302,0,Non Existing Client,1972-07-24,2011-09-18,NP_Client,University,Married,2.0,1,20.0,1.0,C,2011-09-19,Sales,Owned,1,2013-02-20,B
1881,7448,1,Non Existing Client,1976-11-09,2012-07-02,NP_Client,University,Married,3.0,12,36.0,12.0,C,2012-02-14,Sales,Owned,1,2012-11-29,B
1885,1833,0,Existing Client,1953-02-26,2006-02-07,NP_Client,University,Married,0.0,1,20.0,1.0,C,2011-07-22,Sales,Owned,2,2013-02-19,B
1886,6688,0,Non Existing Client,1988-06-23,2012-03-01,NP_Client,University,Married,0.0,10,36.0,10.0,C,2012-01-23,Sales,Owned,1,2013-05-30,B
1888,4691,0,Non Existing Client,1982-12-21,2011-10-19,NP_Client,Master/PhD,Married,0.0,1,20.0,1.0,C,2011-11-20,Sales,Owned,1,2013-03-20,M
1891,8991,1,Existing Client,1981-04-10,2011-02-11,NP_Client,Master/PhD,Married,1.0,10,50.0,10.0,C,2012-04-23,Sales,Owned,1,2013-11-03,C
1896,3163,0,Non Existing Client,1980-03-13,2011-11-09,NP_Client,University,Married,0.0,7,60.0,7.0,C,2011-12-09,Branch,Owned,2,2012-07-08,D
1899,7967,0,Existing Client,1980-01-21,2010-07-22,P_Client,University,Married,1.0,5,53.676,1.0,G,2012-03-13,Branch,Owned,1,2013-02-19,G
1905,1405,1,Non Existing Client,1990-02-03,2011-03-07,NP_Client,University,Single,0.0,25,18.0,2.0,C,2011-05-07,Sales,Old rent,1,2012-08-30,B
1908,2933,0,Existing Client,1947-10-09,2010-02-12,NP_Client,University,Married,0.0,10,18.0,1.0,C,2011-09-18,Sales,Owned,2,2012-09-12,B
1910,1856,0,Existing Client,1959-10-12,2006-01-02,NP_Client,Master/PhD,Married,0.0,1,20.0,1.0,C,2011-08-17,Branch,Owned,2,2012-05-23,C
1911,946,0,Non Existing Client,1979-10-03,2011-06-16,NP_Client,University,Married,2.0,8,20.0,1.0,C,2011-06-19,Sales,Owned,1,2012-03-07,B
1913,944,0,Non Existing Client,1979-07-01,2011-06-16,NP_Client,University,Married,2.0,12,18.0,2.0,C,2011-06-23,Sales,Owned,1,2013-02-28,B
1917,747,0,Existing Client,1982-09-19,2011-01-06,NP_Client,University,Married,2.0,2,25.0,1.0,C,2011-06-23,Branch,Owned,1,2012-05-24,L
1924,1406,0,Non Existing Client,1965-01-14,2011-03-07,NP_Client,University,Married,3.0,15,30.0,1.0,C,2011-04-07,Sales,Owned,1,2013-03-14,B
1926,5208,0,Existing Client,1962-11-11,2009-08-31,NP_Client,University,Married,0.0,10,36.0,10.0,C,2011-12-21,Sales,Owned,1,2012-01-08,D
1929,3183,0,Non Existing Client,1975-08-23,2011-12-09,NP_Client,University,Married,2.0,35,36.0,10.0,C,2011-09-13,Sales,Owned,2,2012-08-12,B
1930,2247,1,Non Existing Client,1975-06-02,2011-07-27,NP_Client,University,Married,2.0,15,30.0,1.0,C,2011-07-30,Branch,Owned,1,2012-03-29,D
1931,2377,0,Non Existing Client,1971-02-22,2011-08-08,NP_Client,University,Married,2.0,22,18.0,2.0,C,2011-09-08,Sales,Owned,1,2012-10-18,B
1932,746,0,Existing Client,1983-12-23,2011-01-06,NP_Client,University,Single,0.0,28,42.0,1.0,C,2011-07-06,Sales,Old rent,1,2013-02-06,L
1941,6718,0,Non Existing Client,1979-07-07,2012-01-18,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-01-19,Sales,Owned,2,2012-10-31,D
1945,4815,1,Non Existing Client,1976-11-07,2011-10-30,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-01-11,Sales,Owned,1,2012-05-31,B
1949,5367,1,Existing Client,1958-10-07,2011-11-28,NP_Client,University,Married,3.0,40,52.8,5.0,C,2011-06-12,Sales,Old rent,1,2012-11-29,L
1951,2826,0,Existing Client,1966-09-03,2009-11-03,NP_Client,Master/PhD,Married,1.0,15,18.0,2.0,G,2011-09-20,Sales,Owned,2,2012-12-23,C
1952,3770,0,Existing Client,1985-09-19,2010-08-15,P_Client,University,Married,0.0,20,56.328,1.0,C,2011-10-26,Branch,Owned,1,2013-05-15,H
1955,6342,1,Non Existing Client,1972-10-23,2011-12-26,NP_Client,University,Married,2.0,1,36.0,1.0,C,2012-10-01,Sales,Owned,1,2012-09-30,B
1956,1355,0,Non Existing Client,1977-09-25,2011-06-19,NP_Client,University,Single,0.0,30,36.0,1.0,C,2011-06-30,Sales,Old rent,1,2012-02-07,B
1962,5293,1,Existing Client,1978-01-08,2011-08-28,NP_Client,University,Single,0.0,33,46.8,1.0,C,2011-12-12,Branch,Owned,1,2013-05-30,L
1963,3897,1,Non Existing Client,1969-04-22,2011-09-26,NP_Client,University,Married,2.0,10,36.0,3.0,C,2011-09-29,Sales,Owned,1,2013-03-31,B
1974,2058,0,Existing Client,1979-11-12,2010-10-17,NP_Client,Master/PhD,Single,0.0,2,20.0,1.0,C,2011-08-14,Sales,Owned,1,2013-05-30,C
1975,8420,1,Non Existing Client,1963-10-07,2012-12-03,NP_Client,University,Married,5.0,1,36.0,1.0,C,2012-03-13,Sales,Owned,1,2012-11-29,B
1976,3004,1,Existing Client,1982-04-08,2011-08-23,NP_Client,Master/PhD,Single,0.0,29,18.0,2.0,G,2011-08-09,Sales,Owned,1,2012-10-31,C
1979,5330,0,Existing Client,1959-12-05,2011-10-11,NP_Client,University,Married,5.0,52,111.0,5.0,C,2011-12-20,Branch,Owned,1,2013-04-14,L
1980,3372,0,Non Existing Client,1988-11-17,2011-09-22,NP_Client,University,Married,0.0,23,24.0,2.0,G,2011-09-26,Branch,Parents,1,2012-05-24,D
1989,7255,0,Non Existing Client,1977-03-09,2012-01-31,NP_Client,University,Married,0.0,49,25.0,1.0,C,2012-01-02,Sales,Old rent,1,2012-11-10,B
1996,5739,1,Non Existing Client,1986-01-04,2011-12-13,NP_Client,University,Single,0.0,1,36.0,1.0,C,2011-12-14,Sales,Owned,1,2012-06-28,B
2003,7285,0,Non Existing Client,1979-04-19,2012-06-02,NP_Client,University,Single,0.0,30,20.4,6.0,G,2012-07-02,Branch,Owned,2,2013-12-03,B
2007,84,0,Existing Client,1981-01-04,2009-03-31,NP_Client,University,Married,1.0,10,63.0,8.0,C,2011-11-05,Branch,Owned,1,2012-11-01,K
2018,1351,0,Existing Client,1979-02-10,2011-06-16,NP_Client,University,Single,0.0,7,36.0,8.0,C,2011-05-07,Sales,Owned,1,2012-05-01,L
2019,999,0,Non Existing Client,1969-02-16,2011-02-06,NP_Client,University,Married,3.0,15,100.0,1.0,C,2011-06-21,Branch,Owned,1,2012-03-21,B
2035,6937,0,Existing Client,1970-08-18,2005-06-12,NP_Client,University,Married,3.0,10,36.0,5.0,C,2012-02-19,Sales,Owned,1,2013-08-05,B
2043,4864,1,Non Existing Client,1968-06-09,2011-10-16,NP_Client,University,Married,0.0,1,36.0,1.0,C,2011-03-11,Sales,Owned,1,2012-09-18,B
2045,9308,0,Non Existing Client,1968-05-14,2012-08-04,NP_Client,University,Married,0.0,10,36.0,10.0,C,2012-11-04,Sales,Owned,1,2013-02-18,B
2047,376,0,Existing Client,1976-06-16,2011-05-19,NP_Client,Master/PhD,Married,3.0,2,67.2,2.0,C,2011-05-24,Sales,Owned,1,2013-03-31,L
2048,1034,0,Non Existing Client,1977-07-22,2011-06-20,NP_Client,Master/PhD,Married,3.0,10,36.0,1.0,C,2011-06-22,Sales,Owned,1,2013-04-02,B
2050,2761,0,Existing Client,1977-05-24,2007-03-20,NP_Client,University,Married,2.0,10,70.0,7.0,C,2011-11-09,Branch,Parents,1,2012-11-29,B
2061,3778,1,Existing Client,1983-03-21,2010-09-29,NP_Client,University,Single,0.0,10,50.0,10.0,C,2011-10-13,Sales,Owned,1,2012-08-30,B
2080,3538,0,Non Existing Client,1985-02-04,2011-09-22,NP_Client,University,Single,0.0,26,18.0,6.0,C,2011-09-28,Sales,Owned,1,2013-03-31,B
2089,7577,0,Non Existing Client,1970-05-14,2012-02-19,NP_Client,University,Married,2.0,2,36.0,10.0,C,2012-02-20,Sales,Owned,1,2013-02-26,B
2092,6794,0,Non Existing Client,1964-09-27,2012-01-21,NP_Client,University,Married,0.0,1,25.0,1.0,C,2012-01-23,Sales,Owned,1,2013-11-03,B
2094,4701,1,Existing Client,1987-12-18,2011-10-18,NP_Client,University,Single,0.0,20,42.72,2.0,G,2011-10-28,Branch,Parents,1,2012-08-30,L
2096,1661,1,Non Existing Client,1982-03-05,2011-07-19,NP_Client,University,Married,2.0,15,100.0,1.0,C,2011-07-22,Branch,Owned,1,2012-04-30,B
2098,6790,1,Non Existing Client,1982-10-22,2012-01-18,NP_Client,University,Single,0.0,20,24.0,1.0,C,2012-01-22,Branch,Parents,1,2012-09-30,B
2099,6978,0,Existing Client,1972-10-05,2008-07-02,P_Client,University,Single,2.0,10,36.0,10.0,C,2012-08-02,Sales,Owned,1,2012-09-21,B
2109,8214,0,Non Existing Client,1952-09-22,2012-01-03,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-04-03,Sales,Owned,1,2012-03-10,B
2110,7729,0,Existing Client,1949-12-26,2001-10-24,NP_Client,University,Married,0.0,1,36.0,1.0,C,2012-02-26,Sales,Owned,2,2012-12-18,B
2113,6056,1,Existing Client,1958-06-23,2009-12-31,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-01-18,Sales,Owned,1,2012-05-31,B
2115,8703,0,Non Existing Client,1968-01-12,2012-03-25,NP_Client,University,Married,2.0,10,50.0,10.0,C,2012-03-26,Sales,Owned,1,2013-05-30,D
2128,4237,1,Non Existing Client,1953-12-29,2011-10-17,NP_Client,University,Married,0.0,20,18.0,1.0,C,2011-10-18,Sales,Owned,1,2012-11-20,B
2129,8441,0,Non Existing Client,1965-11-07,2012-12-03,NP_Client,University,Married,2.0,10,36.0,3.0,C,2012-03-21,Sales,Owned,3,2013-05-26,B
2130,4099,0,Non Existing Client,1987-03-04,2011-04-10,NP_Client,University,Single,0.0,15,30.0,1.0,C,2011-10-10,Sales,Owned,1,2011-11-25,B
2132,1392,0,Non Existing Client,1954-06-02,2011-03-07,NP_Client,University,Married,3.0,30,20.0,1.0,C,2011-04-07,Branch,Old rent,2,2012-03-31,B
2133,6824,0,Non Existing Client,1988-01-14,2012-01-15,NP_Client,University,Married,0.0,15,30.0,1.0,C,2012-01-24,Sales,Owned,1,2013-03-01,B
2137,6036,0,Existing Client,1978-11-05,2009-04-05,P_Client,University,Married,0.0,1,36.0,1.0,C,2012-05-01,Sales,Owned,2,2013-10-04,B
2139,5375,1,Non Existing Client,1973-01-01,2011-11-28,NP_Client,University,Married,0.0,15,50.0,1.0,C,2011-11-29,Sales,Owned,1,2012-11-29,B
2143,2618,0,Non Existing Client,1976-10-11,2011-08-22,NP_Client,University,Married,2.0,1,36.0,1.0,C,2011-08-23,Sales,Owned,2,2013-01-13,B
2151,3287,1,Non Existing Client,1981-01-01,2011-09-14,NP_Client,University,Married,0.0,2,18.0,2.0,C,2011-09-19,Branch,Owned,1,2012-04-30,B
2159,4298,0,Non Existing Client,1975-01-03,2011-10-19,NP_Client,University,Married,0.0,10,36.0,10.0,C,2011-10-26,Sales,Owned,1,2013-05-23,B
2162,6237,0,Non Existing Client,1979-04-11,2011-12-27,NP_Client,University,Married,2.0,11,25.0,1.0,C,2012-04-01,Sales,Owned,2,2012-10-21,B
2166,3194,0,Non Existing Client,1984-08-18,2011-04-09,NP_Client,University,Single,0.0,1,20.0,1.0,C,2011-12-09,Sales,Owned,1,2013-05-28,B
2167,2262,0,Non Existing Client,1983-01-09,2011-07-31,NP_Client,University,Married,0.0,11,36.0,10.0,C,2011-01-08,Branch,Owned,2,2012-06-30,B
2168,8642,0,Non Existing Client,1954-01-18,2012-03-18,NP_Client,University,Separated,3.0,50,18.0,10.0,C,2012-03-22,Branch,Owned,1,2013-05-30,B
2171,9437,1,Non Existing Client,1984-01-14,2012-04-19,NP_Client,University,Married,1.0,1,36.0,1.0,C,2012-04-24,Sales,Owned,1,2012-11-29,D
2174,1676,0,Non Existing Client,1981-08-08,2011-07-20,NP_Client,University,Married,2.0,1,20.0,1.0,C,2011-07-22,Branch,Owned,2,2012-03-19,B
2193,1750,1,Non Existing Client,1968-01-08,2011-07-24,NP_Client,University,Married,0.0,12,18.0,2.0,C,2011-07-27,Sales,Owned,1,2012-04-30,D
2199,4468,0,Existing Client,1961-05-06,1996-07-24,NP_Client,University,Married,3.0,25,20.0,1.0,C,2011-04-10,Sales,Owned,1,2012-05-09,D
2206,3927,1,Existing Client,1976-09-15,2011-09-29,NP_Client,University,Married,0.0,15,50.0,1.0,G,2011-12-10,Sales,Owned,1,2012-11-13,C
2212,7412,0,Non Existing Client,1968-10-27,2012-12-02,NP_Client,University,Married,3.0,1,25.0,1.0,C,2012-02-13,Sales,Owned,1,2013-02-17,B
2216,4042,0,Existing Client,1978-10-09,2011-10-10,NP_Client,Master/PhD,Married,2.0,30,50.0,8.0,G,2011-10-25,Branch,Parents,1,2012-07-31,M
2217,8369,0,Non Existing Client,1951-09-03,2012-08-03,NP_Client,University,Married,0.0,10,36.0,3.0,C,2012-11-03,Sales,Owned,1,2012-11-12,B
2218,3926,1,Non Existing Client,1969-06-26,2011-09-19,NP_Client,University,Married,2.0,16,50.0,10.0,C,2011-09-28,Sales,Owned,1,2012-05-31,B
2220,1766,0,Non Existing Client,1976-08-18,2011-07-21,NP_Client,University,Married,1.0,15,30.0,1.0,C,2011-07-27,Sales,Owned,2,2012-11-18,B
2224,3333,1,Non Existing Client,1968-01-31,2011-09-18,NP_Client,University,Married,0.0,8,20.0,8.0,C,2011-09-19,Branch,Owned,1,2012-06-03,B
2231,4581,1,Existing Client,1964-12-10,2009-04-30,NP_Client,University,Married,2.0,10,36.0,10.0,C,2011-11-16,Sales,Owned,1,2013-03-31,B
2237,764,0,Existing Client,1989-02-25,2011-02-06,NP_Client,University,Single,0.0,20,36.0,2.0,C,2011-06-13,Branch,Owned,1,2013-03-31,L
2250,646,0,Existing Client,1980-11-13,2010-09-28,NP_Client,University,Married,0.0,7,100.8,3.0,C,2011-05-06,Sales,Owned,1,2012-07-12,K
2253,8395,0,Non Existing Client,1950-02-13,2012-11-03,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-12-03,Sales,Owned,2,2013-03-26,B
2254,9320,0,Non Existing Client,1978-07-27,2012-10-04,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-11-04,Sales,Owned,1,2013-05-29,B
2255,8993,1,Existing Client,1980-04-09,2011-11-20,NP_Client,Master/PhD,Single,0.0,30,18.0,2.0,G,2012-05-04,Sales,Owned,1,2013-03-31,C
2262,5347,0,Existing Client,1967-01-07,2011-11-17,NP_Client,University,Married,3.0,2,36.0,10.0,C,2011-06-12,Sales,Owned,1,2012-11-18,B
2272,4602,0,Existing Client,1969-07-23,2010-10-01,NP_Client,Master/PhD,Married,0.0,5,50.0,11.0,C,2011-11-29,Sales,Owned,2,2013-08-01,C
2274,7720,0,Non Existing Client,1983-10-12,2012-02-26,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-02-27,Sales,Owned,1,2013-04-17,B
2275,4661,0,Existing Client,1973-08-26,2011-08-29,NP_Client,University,Married,2.0,10,36.0,1.0,C,2011-11-29,Sales,Owned,1,2013-05-19,C
2279,5468,0,Existing Client,1984-04-25,2011-04-12,NP_Client,University,Married,1.0,11,43.2,2.0,C,2011-12-18,Sales,Owned,1,2013-05-30,L
2282,6990,0,Existing Client,1974-06-22,2008-04-06,P_Client,University,Married,0.0,15,36.0,1.0,C,2012-02-15,Sales,Owned,2,2012-12-30,B
2284,3461,0,Non Existing Client,1987-01-02,2011-09-22,NP_Client,University,Married,0.0,15,20.0,1.0,C,2011-09-25,Sales,Owned,3,2012-09-10,B
2287,3221,0,Non Existing Client,1959-02-16,2011-09-13,NP_Client,University,Married,0.0,1,30.0,1.0,C,2011-09-14,Sales,Owned,2,2013-02-19,D
2291,4248,0,Non Existing Client,1985-06-04,2011-10-18,NP_Client,University,Single,0.0,25,18.0,2.0,C,2011-10-19,Branch,Owned,1,2013-05-22,B
2293,313,1,Existing Client,1974-01-01,2011-05-16,NP_Client,University,Married,2.0,40,25.511999999999997,14.0,C,2011-05-23,Sales,Owned,1,2012-08-30,L
2294,8270,0,Non Existing Client,1988-06-14,2012-04-03,NP_Client,University,Single,0.0,1,36.0,1.0,C,2012-05-03,Sales,Owned,1,2013-05-13,B
2296,3406,0,Non Existing Client,1946-10-14,2011-09-20,NP_Client,University,Married,3.0,35,20.0,1.0,C,2011-09-21,Branch,Owned,2,2012-07-06,D
2297,7350,0,Non Existing Client,1981-03-04,2012-07-02,NP_Client,University,Married,2.0,1,36.0,1.0,C,2012-08-02,Sales,Owned,1,2013-03-24,B
2302,4291,0,Non Existing Client,1978-08-22,2011-10-20,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-10-25,Sales,Owned,3,2012-05-12,B
2312,6127,0,Existing Client,1985-01-30,2011-08-09,P_Client,University,Single,0.0,26,42.268,0.0,C,2012-01-19,Branch,Owned,2,2013-07-02,G
2322,8618,0,Non Existing Client,1978-07-23,2012-12-03,NP_Client,University,Married,1.0,5,50.0,1.0,C,2012-03-20,Sales,Owned,2,2013-02-13,C
